,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
0,Beige Solid Square Neck Puff Sleeve Short Fit And Flare Dress,"1,995","1,596",NaN,0,Party,Crepe,Solid/Plain,Slip On,Comfortable,Puff Sleeves,Mini,N/A,Square Neck,Nykaa Fashion Pvt Ltd,India
1,Monique One Shoulder Trim Bodycon Midi Dress,"9,800","9,800",NaN,0,Party,Blended Fabric,Embellished/Sequined,Zipper,Normal,Full Sleeves,Midi,N/A,One Shoulder,Forever New Apparels Pvt Ltd_parent,China
2,White And Blue Printed Top,"1,799","1,620",NaN,0,Casual,Viscose,Printed,Pull On,Normal,Full Sleeves,Regular,N/A,V-Neck,Vero Moda Retail Pvt. Ltd_parent,India
3,Lambswool Rich Striped Crew Neck Grey Sweater,"4,999","4,250",NaN,0,Casual,Wool,Stripes,Pull On,Comfortable,Full Sleeves,Tops,N/A,Crew Neck,Nykaa Fashion Pvt Ltd,Madagascar
4,Maroon Flare Up For A Moment Dress,"2,495","2,121",4.3,4.3,Casual,Crepe,Solid/Plain,Back Closure,Comfortable,Full Sleeves,Knee Length,N/A,Round Neck,Nykaa Fashion Pvt Ltd,India
5,Satin Floral Print Shift Dress - Green and Black,"3,795","2,657",3.8,3.8,Party,Satin,Floral,Pull On,Semi-Fit,Full Sleeves,Knee Length,N/A,V-Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
6,Metallic Ready For The Party Dress,"5,295","4,501",4.1,4.1,Party,Sequin,Embellished/Sequined,Zip,Fitted,Three Fourth Sleeves,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
7,Beige Stripes Co-ords Midi Dress (Set of 2),"3,799",912,3.8,3.8,Work,Polyester,Stripes,Pull On,Comfortable,Full Sleeves,N/A,N/A,Turtle Neck,Purvaja,India
8,Stretch Pants - Black,"1,999","1,200",4.0,4.0,Formal,Polyester,Solid/Plain,Hook and Eye,Comfortable,N/A,N/A,Mid Waist,N/A,Power Sutra Clothing Private Limited.,India
9,Peacock Cinched Shirt Jacket,"2,449","1,739",4.0,4.0,Casual,Modal,Floral,Drawstring,Normal,Three Fourth Sleeves,N/A,N/A,V-Neck,Astrid Fashions Pvt Ltd,India
10,Red Hailey Dress,"3,950","3,753",3.8,3.8,Evening,Mesh,Ruched,Zipper,Comfortable,Sleeveless,Maxi,N/A,Strapless/Tube,Innsaei Designs Llp,India
11,Women Pink Pure Cotton Solid Oversized Casual Shirt,"1,749",875,4.2,4.2,Casual,Cotton,Solid/Plain,Button Fly,Oversized,Three Fourth Sleeves,N/A,N/A,Collar Neck,Mensa Brands Technologies Pvt. Limited_parent,India
12,Black Skinny Fit High Rise Denim Jeans,"2,399",960,4.0,4.0,Work,Cotton,Solid/Plain,N/A,Skinny,N/A,N/A,High Waist,N/A,Pants Theory Private Limited,India
13,Vanilla Bean Polka Cotton Dress,"3,500","3,325",3.3,3.3,Evening,Cotton,Polka Dots,Slip On,Comfortable,Balloon Sleeve,Midi,N/A,V-Neck,Ordinaree Tribe Private Limited,India
14,Animal Print Basic Jumpsuit,"2,199",792,3.9,3.9,Casual,Polyester,Animal Print,Pull On,Comfortable,Full Sleeves,N/A,N/A,V-Neck,Khullar Appearls_parent,India
15,High Waisted Flare Pants in Second SKN Fabric With Pockets,"1,699","1,699",4.1,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
16,Women Maroon Waffle Knit Co-ord,"2,499","1,000",4.0,4.0,Travel,Cotton,Solid/Plain,Drawstring,Comfortable,Half Sleeves,N/A,N/A,Round Neck,Rigo International,India
17,Brown Green Chiffon Regular Top,"1,399",826,4.1,4.1,Casual,Chiffon,Animal Print,Button Fly,Semi-Fit,Balloon Sleeve,Regular,N/A,Mandarin Neck,Nidwait Retail Pvt Ltd,India
18,Womens Tie Knot Long Sleeve Top,"1,699",663,3.9,3.9,Casual,Crepe,Graphic,Button Fly,Comfortable,Full Sleeves,Regular,N/A,V-Neck,Lueur Vestures Pvt Ltd,India
19,Magenta Cotton Balloon Sleeve Midi Dress,"3,999","3,400",3.4,3.4,Semi Formal,Cotton,Solid/Plain,Front Closure,A-Line,Balloon Sleeve,Midi,N/A,V-Neck,Swish Boss Apparels Pvt. Ltd.,India
20,Women Peach Self Design Lace Regular Smart Casual Top,"1,899",930,4.2,4.2,Casual,Lace,Self Design,Tie-Ups,Normal,Three Fourth Sleeves,Regular,N/A,High Neck,Krislon Synthetics Pvt Ltd,India
21,Hot Pink A-Line Fit And Flare Short Dress With Back Bow Tie,"2,500","1,875",3.3,3.3,Party,Cotton Silk,Solid/Plain,Back Closure,Comfortable,Sleeveless,N/A,N/A,Shoulder Straps,Shaam Clothing Pvt Ltd,India
22,Maroon Puff Sleeve Midi Dress,"3,999","2,200",3.9,3.9,Party,Satin,Solid/Plain,Pull On,Normal,Full Sleeves,Midi,N/A,V-Neck,Mish Desings Limited,India
23,Front Slit Jacket A-Line Dress-Royal Blue,"4,495","3,147",3.9,3.9,Work,Polyester,Solid/Plain,Button Fly,Comfortable,Full Sleeves,Mini,N/A,Notched Lapel,Fablestreet Lifestyle Solutions Pvt Ltd,India
24,Multi-Color Flowers On My Tiers Maxi Dress,"1,995","1,796",4.4,4.4,Casual,Georgette,Floral,Zipper,Comfortable,Sleeveless,Maxi,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,India
25,Head Over Heels White Mini Dress,"3,250","3,088",3.3,3.3,Evening,Cotton,Textured,Side Closure,Semi-Fit,Balloon Sleeve,Mini,N/A,Collar Neck,Innsaei Designs Llp,India
26,Maroon One Shoulder Bodycon Maxi Dress,"4,295","3,651",4.2,4.2,Evening,Polyester,Solid/Plain,Side Closure,Comfortable,Sleeveless,Maxi,N/A,One Shoulder,Nykaa Fashion Pvt Ltd,India
27,Women's Black Wide Leg High Rise Clean Look Stretchable Denim Jeans (Set of 2),"3,395","1,358",4.5,4.5,Casual,Denim,Solid/Plain,N/A,Comfortable,N/A,N/A,High Waist,N/A,Pants Theory Private Limited,India
